Name,SMILES,pIC50,Reference
Haloperidol,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,7.921,"(Munawar et al., 2019)"
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc12,5.469,"(Munawar et al., 2019)"
Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,3.523,"(Munawar et al., 2019)"
Irbesartan,CCCCC2=NC1(CCCC1)C(=O)N2Cc3ccc(cc3)c4ccccc4c5nnn[nH]5,3.714,"(Munawar et al., 2019)"
JMC20081730_1,CN1CCN(CC1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,6.022,"(Munawar et al., 2019)"
JMC20081730_13,CN(C)[C@H]1CCN(C1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,6.222,"(Munawar et al., 2019)"
JMC20081730_17,CCN[C@H]1CCN(C1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,6.377,"(Munawar et al., 2019)"
JMC20081730_22,CN(C)CC1CCN(CC1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,5.777,"(Munawar et al., 2019)"
JMC20081730_23,CN(C)C[C@H]1CCN(C1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,5.73,"(Munawar et al., 2019)"
JMC20081730_24,CN(C)C[C@@H]1CCN(C1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,5.996,"(Munawar et al., 2019)"
JMC20081730_26,CN(C)CCC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,6.187,"(Munawar et al., 2019)"
JMC20081730_27,CN(C)[C@H]1CCN(CCC(=O)Nc2cc(nc(n2)-c2ccc(C)o2)-n2nc(C)cc2C)C1,5.642,"(Munawar et al., 2019)"
JMC20081730_4,CN1CCC(CC1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,5.38,"(Munawar et al., 2019)"
JMC20081730_7,CN1CCCN(CC1)CC(=O)Nc1cc(nc(n1)-c1ccc(C)o1)-n1nc(C)cc1C,6.538,"(Munawar et al., 2019)"
Ketanserin,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCN1C(=O)c2c(NC1=O)cccc2,6.971,"(Munawar et al., 2019)"
Ketoconazole,Clc1cc(Cl)ccc1[C@@]1(OC(CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,5.721,"(Munawar et al., 2019)"
LAAM,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,5.658,"(Munawar et al., 2019)"
Lamotrigine,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,3.64,"(Munawar et al., 2019)"
Levobupivacaine,CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,5,"(Munawar et al., 2019)"
Levofloxacin,C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,3.367,"(Munawar et al., 2019)"
Lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,3.581,"(Munawar et al., 2019)"
Lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,7.78,"(Munawar et al., 2019)"
Lomefloxacin,CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c12,2.62,"(Munawar et al., 2019)"
Lopinavir,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1,5.066,"(Munawar et al., 2019)"
Loratidine,CCOC(=O)N1CC\C(CC1)=C1/c2ccc(Cl)cc2CCc2cccnc12,6.762,"(Munawar et al., 2019)"
Lovastatin,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,5.155,"(Munawar et al., 2019)"
Lumefantrine,CCCCN(CCCC)C[C@@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1\C2=C/c1ccc(Cl)cc1,5.09,"(Munawar et al., 2019)"
Maprotiline,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,6.886,"(Munawar et al., 2019)"
Mdl 74156,C1C2CC3CC(CC1N3CC2O)OC(=O)C4=CNC5=CC=CC=C54,4.917,"(Munawar et al., 2019)"
Mefloquine,O[C@H]([C@H]1CCCCN1)c1cc(nc2c(cccc12)C(F)(F)F)C(F)(F)F,5.585,"(Munawar et al., 2019)"
Meperidine,CCOC(=O)C1(CCN(C)CC1)c1ccccc1,4.125,"(Munawar et al., 2019)"
Mepivacaine,CN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,3.806,"(Munawar et al., 2019)"
Mesoridazine,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,6.26,"(Munawar et al., 2019)"
Methadone,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,5.009,"(Munawar et al., 2019)"
Methadone(R),O=C(C(C[C@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC,5.155,"(Munawar et al., 2019)"
Methadone(RS),CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,5.523,"(Munawar et al., 2019)"
Methadone(S),O=C(C(C[C@@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC,5.699,"(Munawar et al., 2019)"
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,5.268,"(Munawar et al., 2019)"
Mianserine,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,4.83,"(Munawar et al., 2019)"
Miconazole,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.678,"(Munawar et al., 2019)"
Mizolastine,CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5,6.456,"(Munawar et al., 2019)"
MK499,CS(=O)(=O)NC1=CC2=C(C=C1)OC3(CCN(CC3)C4CCC5=C(C4)C=CC(=C5)C#N)CC2O,8.666,"(Munawar et al., 2019)"
Morphine,CN1CCC24C3Oc5c(O)ccc(CC1C2C=CC3O)c45,3,"(Munawar et al., 2019)"
Moxifloxacin,COc4c(N2CC1CCCNC1C2)c(F)cc5c(=O)c(cn(C3CC3)c45)C(O)=O,4.538,"(Munawar et al., 2019)"
N-desbutylhalofantrine,CCCCNCC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(ccc12)C(F)(F)F,7.144,"(Munawar et al., 2019)"
N-desmethyl-clozapine,Clc1ccc2N=c3ccccc3=C(Nc2c1)N1CCNCC1,5.348,"(Munawar et al., 2019)"
N-desmethyl-olanzapine,Cc1cc2c(Nc3ccccc3N=C2N2CCNCC2)s1,4.848,"(Munawar et al., 2019)"
Nelfinavir,Cc1c(O)cccc1C(=O)NC(CSc2ccccc2)C(O)CN4CC3CCCCC3CC4C(=O)NC(C)(C)C,4.939,"(Munawar et al., 2019)"
Nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,4.301,"(Munawar et al., 2019)"
Noracethylmethadol,CC[C@@H](OC(C)=O)C(C[C@H](C)NC)(c1ccccc1)c1ccccc1,4.921,"(Munawar et al., 2019)"
Norastemizole,C1CNCCC1NC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F,7.558,"(Munawar et al., 2019)"
Norfluoxetine,Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc23)cc1,5.602,"(Munawar et al., 2019)"
Olanzapine,CN1CCN(CC1)C1=c2cc(C)sc2=Nc2ccccc2N1,6.638,"(Munawar et al., 2019)"
Oleandomycin,COC1CC(OC(C)C1O)OC4C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)CC3(CO3)C(=O)C(C)C(O)C(C)C(C)OC(=O)C4C,3.469,"(Munawar et al., 2019)"
ondansetron,Cc1nccn1C[C@@H]1CCc2c(C1=O)c1ccccc1n2C,6.092,"(Munawar et al., 2019)"
Orphenadrine,CN(C)CCO[C@@H](c1ccccc1)c1ccccc1C,6.071,"(Munawar et al., 2019)"
Ouabain,CC6OC(OC4CC(O)C3(CO)C2C(O)CC1(C)C(CCC1(O)C2CCC3(O)C4)C5=CC(=O)OC5)C(O)C(O)C6O,4.818,"(Munawar et al., 2019)"
Papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,5.137,"(Munawar et al., 2019)"
Pentamidine,NC(=N)c2ccc(OCCCCCOc1ccc(cc1)C(N)=N)cc2,3.599,"(Munawar et al., 2019)"
Pergolide,CCCN1CC(CSC)CC2C1Cc3c[nH]c4cccc2c34,6.921,"(Munawar et al., 2019)"
Perhexiline,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,5.108,"(Munawar et al., 2019)"
Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,5.999,"(Munawar et al., 2019)"
Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,2.523,"(Munawar et al., 2019)"
Phenytoin,O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1,3.62,"(Munawar et al., 2019)"
Pilsicainide,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,4.69,"(Munawar et al., 2019)"
Pimozide,Fc1ccc(cc1)C(CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc(F)cc1,8.585,"(Munawar et al., 2019)"
Prazosin,COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)c1ccco1,5.804,"(Munawar et al., 2019)"
Prenylamine,CC(CC1=CC=CC=C1)NCCC(C1=CC=CC=C1)C1=CC=CC=C1,6.229,"(Munawar et al., 2019)"
Procainamide,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.858,"(Munawar et al., 2019)"
Propafenone,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,5.699,"(Munawar et al., 2019)"
Propiverine,CCCOC(C(=O)OC1CCN(C)CC1)(c2ccccc2)c3ccccc3,5,"(Munawar et al., 2019)"
Propranolol,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,5.409,"(Munawar et al., 2019)"
Protriptyline,CNCCCC1c2ccccc2CCc2ccccc12,5.928,"(Munawar et al., 2019)"
Prucalopride,COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl,5.387,"(Munawar et al., 2019)"
Pyrilamine,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,5.222,"(Munawar et al., 2019)"
Quetiapine,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,5.239,"(Munawar et al., 2019)"
Quinidine,COc4ccc3nccc(C(O)C1CC2CCN1CC2C=C)c3c4,6.387,"(Munawar et al., 2019)"
Risperidone,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,6.824,"(Munawar et al., 2019)"
Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,5.921,"(Munawar et al., 2019)"
Ropivacaine,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,4.699,"(Munawar et al., 2019)"
Saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,4.815,"(Munawar et al., 2019)"
Sertindole,Fc1ccc(cc1)-n1cc(C2CCN(CC2)CCN2CCNC2=O)c2cc(Cl)ccc12,8,"(Munawar et al., 2019)"
Sibutramine,CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,5.425,"(Munawar et al., 2019)"
Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4,4.478,"(Munawar et al., 2019)"
Sotalol,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,3.572,"(Munawar et al., 2019)"
Sparfloxacin,C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O,4.479,"(Munawar et al., 2019)"
