Name,pIC50,Training.Test
Desloratin,5.347,Test
Desmethylastemizole,9,Training
Dexfenfluramine,3.27,Training
Diltiazem,4.762,Training
Diphenhydramine,5.585,Training
Dofetilide,8,Test
Dolasetron,5.225,Training
Domperidone,7.244,Training
Doxazosin,6.489,Training
Doxepin,5.187,Test
Dronedarone,7.228,Training
Droperidol,7.492,Training
DW286,4.051,Training
E4031,7.959,Training
EDDP,4.301,Training
EGCG,5.222,Training
ER-118585,7.398,Training
Fentanyl,5.745,Test
Fexofenadine,4.186,Training
Flecainide,6.131,Training
Flunarizine,8.244,Training
Fluoxetine,6.155,Training
Fluvoxamine,5.42,Training
Gatifloxacin,3.886,Training
Gbr-12909/ vanoxerine,9,Test
GF109203X/ bisindolylmaleimide I,5.928,Training
Glycerol-nonivamide,7,Training
Granisetron,5.428,Test
Grepafloxacin,4.561,Training
Halofantrine,7.666,Training
Haloperidol,7.921,Training
Imipramine,5.469,Test
Indomethacin,3.523,Training
Irbesartan,3.714,Training
JMC20081730_1,6.022,Test
JMC20081730_13,6.222,Training
JMC20081730_17,6.377,Training
JMC20081730_22,5.777,Training
JMC20081730_23,5.73,Test
JMC20081730_24,5.996,Training
JMC20081730_26,6.187,Training
JMC20081730_27,5.642,Training
JMC20081730_4,5.38,Training
JMC20081730_7,6.538,Training
Ketanserin,6.971,Training
Ketoconazole,5.721,Training
LAAM,5.658,Training
Lamotrigine,3.64,Training
Levobupivacaine,5,Training
Levofloxacin,3.367,Training
Lidocaine,3.581,Training
Lidoflazine,7.78,Training
Lomefloxacin,2.62,Training
Lopinavir,5.066,Training
Loratidine,6.762,Training
Lovastatin,5.155,Training
Lumefantrine,5.09,Training
Maprotiline,6.886,Training
Mdl 74156,4.917,Training
Mefloquine,5.585,Training
Meperidine,4.125,Training
Mepivacaine,3.806,Training
Mesoridazine,6.26,Training
Methadone,5.009,Training
Methadone(R),5.155,Test
Methadone(RS),5.523,Training
Methadone(S),5.699,Training
Metoclopramide,5.268,Test
Mianserine,4.83,Training
Miconazole,5.678,Training
Mizolastine,6.456,Training
MK499,8.666,Training
Morphine,3,Training
Moxifloxacin,4.538,Training
N-desbutylhalofantrine,7.144,Training
N-desmethyl-clozapine,5.348,Test
N-desmethyl-olanzapine,4.848,Test
Nelfinavir,4.939,Training
Nifedipine,4.301,Training
Noracethylmethadol,4.921,Training
Norastemizole,7.558,Training
Norfluoxetine,5.602,Test
Olanzapine,6.638,Training
Oleandomycin,3.469,Training
ondansetron,6.092,Test
Orphenadrine,6.071,Training
Ouabain,4.818,Training
Papaverine,5.137,Training
Pentamidine,3.599,Training
Pergolide,6.921,Training
Perhexiline,5.108,Training
Perphenazine,5.999,Training
Phenobarbital,2.523,Training
Phenytoin,3.62,Test
Pilsicainide,4.69,Test
Pimozide,8.585,Training
Prazosin,5.804,Training
Prenylamine,6.229,Training
Procainamide,3.858,Training
Propafenone,5.699,Training
Propiverine,5,Training
Propranolol,5.409,Training
Protriptyline,5.928,Test
Prucalopride,5.387,Training
Pyrilamine,5.222,Training
Quetiapine,5.239,Training
Quinidine,6.387,Training
Risperidone,6.824,Test
Ropinirole,5.921,Test
Ropivacaine,4.699,Training
Saquinavir,4.815,Training
Sertindole,8,Test
Sibutramine,5.425,Training
Sildenafil,4.478,Training
Sotalol,3.572,Training
Sparfloxacin,4.479,Training
Spironolactone,4.638,Training
S-Ropivacaine,4.553,Training
Sulfamethoxazole,2.658,Training
Tamsulosin,3.98,Training
Terazosin,4.752,Training
Terfenadine,7.551,Test
Terodiline,6.426,Training
Thioridazine,7.095,Training
Tolterodine,8.018,Training
Trazodone,5.538,Test
Trifluoperazine,5.852,Test
Trimethoprim,6,Training
Vardenafil,4.893,Training
Verapamil,7.027,Training
Vesnarinone,5.959,Training
Ziprasidone,6.772,Training
"1,4-Dihydroindeno[1,2-c]pyrazole derivate (85)",5.769551079,Training
"1,4-Dihydroindeno[1,2-c]pyrazole derivate (90)",4.935542011,Test
"1,4-Dihydroindeno[1,2-c]pyrazole derivate (77)",4.27572413,Training
"1,4-Dihydroindeno[1,2-c]pyrazole derivate (50)",5.27572413,Training
"1,4-Dihydroindeno[1,2-c]pyrazole derivate (89)",3.823908741,Training
MDL 74156,4.91721463,Training
Epinastine,4,Test
Sertindole derivative (2),8,Test
Sertindole derivative (4),6.237321436,Training
Sertindole derivative (5),4.124938737,Training
Sertindole derivative (7),6.882728704,Training
Sertindole derivative (8),7.443697499,Test
Sertindole derivative (10),8.207608311,Training
Terfenadine derivete (11),6.337242168,Training
Sertindole derivative (14),6.690369833,Training
Sertindole derivative (15),7.958607315,Training
Sertindole derivative (16),4.585026652,Training
Sertindole derivative (17),5.829738285,Test
Sertindole derivative (18),5.341988603,Training
Sertindole derivative (19),5.710634048,Training
Sertindole derivative (20),4.804100348,Training
Sertindole derivative (21),5.657577319,Training
Sertindole derivative (22),5.455931956,Training
Sertindole derivative (23),5,Test
Sertindole derivative (9),5,Training
Sertindole derivative (12),5,Training
N-desmethyl-erythromycin,3.832682665,Training
Erythromycylamine,3.562249437,Training
N-Desmethylclozapine,5.347753659,Test
Paliperidone,5.886056648,Training
Desmethyl olanzapine,4.847711656,Test
2-Hydroxy methyl olanzapine,4.935542011,Training
Methylecgonidine,3.76700389,Test
Psora-4,5.301029996,Training
Chlorobutanol,2.356547324,Training
AF 3013,3.522878745,Test
Prulifloxacin,3.522878745,Training
Sumanirole,5,Training
Famotidine,4.301029996,Training
Z-338,4.301029996,Training
Mepyramine,5.22184875,Training
Cimetidine,3,Training
KCB-328,5.920818754,Training
Erythromycin,4.017728767,Training
AVE0118,5,Training
Epigallocatechin gallate,5.22184875,Training
BAPTA-AM,5.882728704,Training
Mitemcinal,4.694648631,Training
GM-577 (Mitemcinal metabolite),4.379863945,Training
GM-625 (Mitemcinal metabolite),4.259637311,Test
Ceramide (C2),4,Training
Vinpocetine,6.886056648,Training
EHNA,4.096910013,Training
Rolipram,4.096910013,Training
Dipyridamole,4.096910013,Training
Milrinone,4,Training
Amrinone,4,Training
Zaprinast,4,Training
Azithromycin,2.943095149,Training
NIP-142,4.356547324,Test
Gemifloxacin,3.522878745,Training
Baclofloxacin,3.669586227,Training
5-HT1A agonist (20d),6.522878745,Training
5-HT1A agonist (20m),5.420216403,Training
5-HT1A agonist (20n),5.823908741,Training
5-HT1A agonist (20o),5.522878745,Training
5-HT1A agonist (20p),5.397940009,Training
5-HT1A agonist (20q),5.657577319,Test
5-HT1A agonist (21a),5.698970004,Training
Nifekalant,5.236572006,Training
Metoprolol,3.838631998,Training
ICI 118551,5.036212173,Training
Vernakalant,4.677780705,Test
PNU-0068611A,7.091514981,Training
UK-064962-01,6.563837353,Training
UK-064963-01,6.482804102,Training
UK-068522,5.586700236,Training
UK-068523,7.091514981,Test
UK-068526-01,7.356547324,Training
UK-068097,6.035269079,Training
Rhyncophylline,3.111820506,Training
Norverapamil,5.420216403,Training
D703 (Verapamil metabolite),5.657577319,Training
Budipine,4.991399828,Training
MCH-R1 antagonist 21 b,5.091514981,Training
MCH-R1 antagonist 21 e,5.48148606,Training
MCH-R1 antagonist 21 j,5.769551079,Test
Fluspirilene,5.630784143,Training
MCH-R1 antagonist 2c,5.48148606,Training
MCH-R1 antagonist 2d,4.879426069,Training
MCH-R1 antagonist 4a,5.698970004,Training
MCH-R1 antagonist 4b,5.397940009,Training
MCH-R1 antagonist 4e,4.958607315,Training
MCH-R1 antagonist 4f,4.886056648,Training
MCH-R1 antagonist 4h,4.602059991,Training
MCH-R1 antagonist 4g,4.619788758,Test
MCH-R1 antagonist 4i,4.602059991,Training
MCH-R1 antagonist 4c,5,Test
MCH-R1 antagonist 4d,5,Test
MCH-R1 antagonist 5c,5.283996656,Training
MCH-R1 antagonist 5a,5.585026652,Training
MCH-R1 antagonist 5b,5.292429824,Training
MCH-R1 antagonist 5d,5,Training
MCH-R1 antagonist 5e,4.853871964,Training
MCH-R1 antagonist 5f,4.698970004,Training
MCH-R1 antagonist 5g,4.522878745,Training
MCH-R1 antagonist 7a,5.744727495,Training
MCH-R1 antagonist 7b,5.301029996,Test
MCH-R1 antagonist 7d,5.173925197,Training
MCH-R1 antagonist 7g,4.853871964,Training
MCH-R1 antagonist 7h,4.698970004,Test
MCH-R1 antagonist 7i,4.522878745,Test
MCH-R1 antagonist 7j,4.468521083,Training
MCH-R1 antagonist 5h,5,Training
MCH-R1 antagonist 5i,5,Training
MCH-R1 antagonist 7f,5,Training
Kv1.5 blocker (8i),4.619788758,Training
GlyT1 inhibitors 27,5.853871964,Training
GlyT1 inhibitors 12c,5.744727495,Training
GlyT1 inhibitors 28,4.619788758,Training
5-HT2C receptor agonists 1,5.602059991,Training
5-HT2C receptor agonists 7a,4.397940009,Training
5-HT2C receptor agonists 18,4.522878745,Training
NMDA-NR2B agonist 4c,6.102372909,Training
NMDA-NR2B agonist 4d,6.397940009,Training
A2A antagonist 2,6.022276395,Training
A2A antagonist 3,6.185086819,Training
Kv 1.5 inhibitor 6,4.522878745,Training
Kv 1.5 inhibitor 29,4.522878745,Training
Norfloxacin,2.522878745,Training
Fluoroquinolone C1,3.096910013,Training
Fluoroquinolone C2,3.096910013,Test
Fluoroquinolone C3,3.096910013,Test
Fluoroquinolone C4,3.096910013,Training
EP 824098,6.161150909,Test
NMDA N2RB antagonist (1),5.397940009,Test
NMDA N2RB antagonist (2),5.327902142,Training
NMDA N2RB antagonist (6),5.431798276,Training
NMDA N2RB antagonist (3),5,Test
MCH-R1 antagonist (Comparison example 1),5.698970004,Training
MCH-R1 antagonist (example 1),5,Training
Mianserin,5.494850022,Training
Acacetin,4.48945499,Test
Sophocarpine,3.628932138,Training
A2A antagonist 7,6.54515514,Training
A2A antagonist 22,5.777283529,Training
A2A antagonist 4,5.379863945,Training
A2A antagonist 13,6.22184875,Training
A2A antagonist 17,6.37675071,Training
A2A antagonist 23,5.730487056,Training
A2A antagonist 27,5.642065153,Training
Salmeterol,5.366531544,Test
Sumatriptan,4.522878745,Training
Meperedine,4.124938737,Training
Doxorubicin,3.522878745,Training
Epirubicin,3.671620397,Training
Aconitine,4.869666232,Test
Amoxicillin,4,Training
Isoproterenol,4.522878745,Training
Caffeine,3,Training
Amoxapine,5.292429824,Training
Hesperetin,3.539102157,Training
Morin,3.954677021,Training
Naringenin,3.991399828,Training
Bisindolylmaleimide I (GF109203X),5.928117993,Training
Hydroxyhaloperidol,5.585026652,Training
Pentobarbital,2.801342913,Training
RP-58866,6,Training
Loratadine,5.408935393,Training
E-4031,7.853871964,Training
BRL 32872,7.70333481,Training
Canrenoic acid,3.982132281,Training
N-desbutyllumefantrine,5.259637311,Test
DW286a,4.050609993,Training
Ibutilide,7.552841969,Training
Levofloxacin (ofloxacin),3.366531544,Training
MK-499,7.677780705,Training
Calcium channel blocker (26a),6.036212173,Test
Calcium channel blocker (26b),5.823908741,Test
Calcium channel blocker (26c),5.493494968,Test
Calcium channel blocker (26d),5.322393047,Training
Calcium channel blocker (26h),5.804100348,Test
Calcium channel blocker (27h),6.443697499,Training
Calcium channel blocker (28a),5.721246399,Training
Calcium channel blocker (28b),6.508638306,Training
Calcium channel blocker (28d),5.302770657,Training
Calcium channel blocker (28e),5.552841969,Training
Calcium channel blocker (28f),5.628932138,Training
Calcium channel blocker (29a),6.795880017,Training
Calcium channel blocker (29b),6.443697499,Training
Calcium channel blocker (29c),6.886056648,Training
Calcium channel blocker (29d),6.337242168,Training
Calcium channel blocker (29e),6.050609993,Training
Calcium channel blocker (29f),6.537602002,Training
Calcium channel blocker (31),4.917933066,Training
Calcium channel blocker (26g),5.325138859,Training
Calcium channel blocker (28c),6.318758763,Training
Calcium channel blocker (28g),5.88941029,Training
Calcium channel blocker (29g),4.85917782,Training
Calcium channel blocker (30a),6.036212173,Training
Calcium channel blocker (30b),5.823908741,Training
Calcium channel blocker (30c),5.493494968,Training
Calcium channel blocker (30d),5.322393047,Test
Calcium channel blocker (30g),5.325138859,Training
Calcium channel blocker (30h),5.804100348,Training
Econazole,5.455931956,Training
"o,p'-DDT",5.585026652,Training
Reserpine,5.721246399,Training
Aminoanthracene,4,Test
D & C red dye 27,4,Training
Trixylenyl phosphate,4,Training
Clobutinol,5.721246399,Training
Pentoxyverine,5.522878745,Training
Dextromethorphan,5.292429824,Training
Theobromine,4,Training
MCH-R1 antagonist 3,5.920818754,Training
MCH-R1 antagonist 4,5.742321425,Training
MCH-R1 antagonist 5,5.511449283,Training
MCH-R1 antagonist 6,5.761953897,Training
MCH-R1 antagonist 7,5.692503962,Training
MCH-R1 antagonist 8,5.522878745,Test
MCH-R1 antagonist 10,5.412289035,Training
MCH-R1 antagonist 13,5.327902142,Training
MCH-R1 antagonist 14,4.832682665,Training
MCH-R1 antagonist 15,5.477555766,Training
MCH-R1 antagonist 16,5.385102784,Training
MCH-R1 antagonist 17,5.100726813,Test
MCH-R1 antagonist 18,5.511449283,Test
MCH-R1 antagonist 19,5.310691141,Training
MCH-R1 antagonist 22,5.134896025,Training
MCH-R1 antagonist 23,5.402304814,Training
MCH-R1 antagonist 24,5.665546249,Training
MCH-R1 antagonist 27,5.272458743,Test
MCH-R1 antagonist 28,5.886056648,Test
MCH-R1 antagonist 29,4.896196279,Training
MCH-R1 antagonist 31,5.393618635,Training
MCH-R1 antagonist 33,5.54668166,Training
MCH-R1 antagonist 35,4.679853714,Test
MCH-R1 antagonist 37,4.621602099,Test
MCH-R1 antagonist 38,4.588380294,Training
MCH-R1 antagonist 40,5.161150909,Test
MCH-R1 antagonist 2,4.500312917,Training
MCH-R1 antagonist 9,4.500312917,Training
MCH-R1 antagonist 20-21,4.500312917,Test
MCH-R1 antagonist 25,4.500312917,Training
MCH-R1 antagonist 26,4.500312917,Training
MCH-R1 antagonist 30,4.500312917,Training
MCH-R1 antagonist 32,4.500312917,Training
MCH-R1 antagonist 34,4.500312917,Training
MCH-R1 antagonist 36,4.500312917,Training
MCH-R1 antagonist 39,4.500312917,Training
Vanoxerine (GBR 12909),9.096910013,Training
LY97241,8.585026652,Training
Kv 1.1-1.2 inhibitor (3),4.877456476,Test
Kv 1.1-1.2 inhibitor (4),5.09420412,Test
Kv 1.1-1.2 inhibitor (8),5.134896025,Test
Kv 1.1-1.2 inhibitor (9),5.064492734,Training
Kv 1.1-1.2 inhibitor (10),5.024108864,Training
Kv 1.1-1.2 inhibitor (11),5.074172425,Test
Kv 1.1-1.2 inhibitor (12),5.049148541,Training
Kv 1.1-1.2 inhibitor (1),4.522878745,Test
Kv 1.1-1.2 inhibitor (2),4.522878745,Training
Kv 1.1-1.2 inhibitor (5),4.522878745,Test
Kv 1.1-1.2 inhibitor (6),4.522878745,Training
Kv 1.1-1.2 inhibitor (7),4.522878745,Test
Kv 1.1-1.2 inhibitor (13),4.522878745,Training
E-4031 derivative (31),7.721246399,Training
E-4031 derivative (35),7.102372909,Training
Tizanidine,4,Training
Histamine-3 receptor antagonist (27),5.15490196,Training
Histamine-3 receptor antagonist (28),4.522878745,Training
Histamine-3 receptor antagonist (22),4.698970004,Training
Histamine-3 receptor antagonist (8),5,Test
Nav1.7 inhibitor (1),5.823908741,Training
Nav1.7 inhibitor (41),5.070581074,Training
nNOS inhibitor (43),5.346787486,Training
nNOS inhibitor (44),5.236572006,Training
nNOS inhibitor (50),4.560667306,Training
nNOS inhibitor (1),5.327902142,Training
nNOS inhibitor (47),4.522878745,Test
nNOS inhibitor (48),4.522878745,Test
nNOS inhibitor (49),4.522878745,Training
nNOS inhibitor (51),4.522878745,Training
nNOS inhibitor (52),4.522878745,Training
nNOS inhibitor (53),4.522878745,Training
Dauricine,5.455931956,Training
nNOS inhibitor (17),4.522878745,Training
Kv1.5 inhibitor (10a),4.214670165,Training
Kv1.5 inhibitor (13a),4.045757491,Training
Kv1.5 inhibitor (13d),4.173925197,Training
Iloperidone,6.793174124,Training
nAChR agonist (22),4.769551079,Training
NP078585,6.397940009,Training
N-type Ca channel blocker (3),7,Training
N-type Ca channel blocker (4),6.602059991,Training
N-type Ca channel blocker (7),7,Training
N-type Ca channel blocker (8),6.180456064,Training
N-type Ca channel blocker (9),6.886056648,Training
N-type Ca channel blocker (10),5.045757491,Training
N-type Ca channel blocker (11),7,Training
N-type Ca channel blocker (15),6.045757491,Test
N-type Ca channel blocker (16),5.30980392,Training
N-type Ca channel blocker (17),6.086186148,Training
N-type Ca channel blocker (18),5.552841969,Training
N-type Ca channel blocker (19),5.721246399,Test
N-type Ca channel blocker (20),6.15490196,Training
N-type Ca channel blocker (22),7,Test
N-type Ca channel blocker (23),7,Training
N-type Ca channel blocker (24),7,Training
N-type Ca channel blocker (25),7.397940009,Training
N-type Ca channel blocker (26),6.060480747,Test
N-type Ca channel blocker (27),6.337242168,Training
N-type Ca channel blocker (38),6.124938737,Training
N-type Ca channel blocker (39),6.187086643,Training
N-type Ca channel blocker (40),7,Test
N-type Ca channel blocker (42),6.958607315,Training
N-type Ca channel blocker (41),8,Training
Trimethylapigenin,4.735182177,Training
18b-Glycyrrhetinic acid,4,Training
DC031050,7.638272164,Training
Arecoline,2.019996628,Training
H3R antagonist,4.744727495,Training
Serotonin receptor (5-HT6) antagonist (5),4.266000713,Training
Serotonin receptor (5-HT6) antagonist (11),6.301029996,Training
Oxazolidinone type antibacterial (10b),4.094743951,Training
JNJ-Q2,4.714442691,Training
Oxadiazole derivative (27),4.896196279,Test
Oxadiazole derivative (28),4.563837353,Training
Oxadiazole derivative (29),4.583359493,Test
Oxadiazole derivative (31),4.886056648,Training
Oxadiazole derivative (32),4.522878745,Training
Oxadiazole derivative (33),4.935542011,Test
Oxadiazole derivative (34),4.66756154,Training
Oxadiazole derivative (35),5.193820026,Training
Oxadiazole derivative (36),4.694648631,Training
Oxadiazole derivative (37),4.508638306,Training
Oxadiazole derivative (39),4.809668302,Training
Oxadiazole derivative (30),4.48148606,Training
Oxadiazole derivative (38),4.48148606,Test
Oxadiazole derivative (40),4.48148606,Training
5-HT6 recpetor antagonist (1c),5.698970004,Training
5-HT6 recpetor antagonist (1g),5.698970004,Training
5-HT6 recpetor antagonist (1n),4.866461092,Test
5-HT6 recpetor antagonist (1i),4.522878745,Test
5-HT6 recpetor antagonist (1l),4.522878745,Training
5-HT6 recpetor antagonist (1j),4.522878745,Training
Curcumin,5.255707017,Test
PTIQ,3.301029996,Training
KB-R7943,7,Training
GPR119 agonist (1),5.602059991,Training
GPR119 agonist (2),5.522878745,Training
GPR119 agonist (3),5.585026652,Test
GPR119 agonist (4),5.537602002,Training
GPR119 agonist (5),5.677780705,Training
GPR119 agonist (6),5.346787486,Training
GPR119 agonist (7),5.920818754,Test
GPR119 agonist (8),5.795880017,Training
GPR119 agonist (9),5.37675071,Training
GPR119 agonist (10),4.886056648,Training
GPR119 agonist (11),5.552841969,Test
GPR119 agonist (12),5.187086643,Training
GPR119 agonist (13),5.823908741,Test
GPR119 agonist (14),5.119186408,Training
GPR119 agonist (15-16),5.552841969,Test
GPR119 agonist (17-18),5.795880017,Training
GPR119 agonist (19),5,Training
GPR119 agonist (20),4.823908741,Training
GPR119 agonist (21),5.327902142,Training
GPR119 agonist (22),5.37675071,Test
GPR119 agonist (23),4.795880017,Training
GPR119 agonist (24),4.769551079,Test
Celecoxib,5.22184875,Training
Topisomerase II inhibitor (1),5.522878745,Training
Topisomerase II inhibitor (2),5.397940009,Training
Topisomerase II inhibitor (25a),4.886056648,Test
Topisomerase II inhibitor (24a),4.886056648,Training
Topisomerase II inhibitor (24b),4.698970004,Training
Topisomerase II inhibitor (25c),4.387216143,Training
Topisomerase II inhibitor (25d),5.045757491,Training
Topisomerase II inhibitor (24e),5.22184875,Training
Topisomerase II inhibitor (25f),4.537602002,Training
Topisomerase II inhibitor (25g),4.37675071,Training
Topisomerase II inhibitor (24h),4.443697499,Training
Topisomerase II inhibitor (24i),4.638272164,Training
Topisomerase II inhibitor (24l),4.721246399,Training
Topisomerase II inhibitor (24m),4.508638306,Training
Topisomerase II inhibitor (24n),3.68613278,Training
Topisomerase II inhibitor (24p),4.091514981,Training
Topisomerase II inhibitor (24r),4.397940009,Test
Topoisomerase II inhibitor (24j),4.48148606,Training
Topoisomerase II inhibitor (24s),4.48148606,Training
Topoisomerase II inhibitor (25t),4.48148606,Training
Antimalarial drug (3),5.431798276,Training
CCR5 inhibitor (1),5.552841969,Test
CCR5 inhibitor (2),5.397940009,Training
CCR5 inhibitor (3),5.721246399,Training
CCR5 inhibitor (10),5.568636236,Test
CCR5 inhibitor (11),4.801342913,Training
CCR5 inhibitor (6),4.301029996,Training
CCR5 inhibitor (7),4.397940009,Training
CCR2 antagonist (16a),5.698970004,Training
Hydroxyzine,6.795880017,Training
5-HT6R antagonist (47),5.096910013,Training
5-HT6R antagonist (6),5,Training
5-HT6R antagonist (14),5,Training
5-HT6R antagonist (42),5,Training
CCR2 antagonist (8b),6,Training
CCR2 antagonist (8a),6,Training
CCR2 antagonist (8e),6,Training
CCR2 antagonist (8f),6,Training
CCR2 antagonist (8g),6,Training
CCR2 antagonist (8i),6,Training
CCR2 antagonist (12a),6,Training
CCR2 antagonist (12b),6,Training
CCR2 antagonist (12e),6,Training
CCR2 antagonist (12f),6,Test
Bacterial topoisomerase inhibitor (4),5.552841969,Test
Bacterial topoisomerase inhibitor (9),4.294992041,Test
Bacterial topoisomerase inhibitor (10),4.614393726,Training
Bacterial topoisomerase inhibitor (12),5.853871964,Training
Bacterial topoisomerase inhibitor (13),4.308918508,Training
Bacterial topoisomerase inhibitor (15),5.522878745,Training
Bacterial topoisomerase inhibitor (17),4.88941029,Training
Bacterial topoisomerase inhibitor (18),5.886056648,Test
Bacterial topoisomerase inhibitor (2),4,Training
Bacterial topoisomerase inhibitor (3),4,Training
Bacterial topoisomerase inhibitor (5),4,Test
Bacterial topoisomerase inhibitor (6),4,Training
Bacterial topoisomerase inhibitor (11),4,Test
Tyrosine kinase inhibitor (2),4.920818754,Test
Tyrosine kinase inhibitor (3),5.040958608,Training
Tyrosine kinase inhibitor (5),4.958607315,Training
Tyrosine kinase inhibitor (6),5,Training
Tyrosine kinase inhibitor (7),5.318758763,Training
Tyrosine kinase inhibitor (9),5.229147988,Training
Tyrosine kinase inhibitor (10),5.494850022,Training
Tyrosine kinase inhibitor (11),5.004364805,Training
Tyrosine kinase inhibitor (12),5.568636236,Training
Tyrosine kinase inhibitor (13),5.055517328,Training
Tyrosine kinase inhibitor (15),5.27572413,Test
Tyrosine kinase inhibitor (16),5.823908741,Test
Tyrosine kinase inhibitor (17),5,Training
Tyrosine kinase inhibitor (18),5.337242168,Training
Tyrosine kinase inhibitor (19),5.431798276,Training
Tyrosine kinase inhibitor (20),4.920818754,Training
Tyrosine kinase inhibitor (21),5.026872146,Training
Tyrosine kinase inhibitor (25),4.795880017,Training
Tyrosine kinase inhibitor (26),4.853871964,Training
Tyrosine kinase inhibitor (27),5.091514981,Training
Tyrosine kinase inhibitor (29),4.795880017,Training
Tyrosine kinase inhibitor (30),5.022276395,Test
Tyrosine kinase inhibitor (31),5.026872146,Training
Tyrosine kinase inhibitor (33),5.366531544,Training
Tyrosine kinase inhibitor (34),5.318758763,Training
Tyrosine kinase inhibitor (35),5.292429824,Training
Tyrosine kinase inhibitor (36),5.886056648,Training
Tyrosine kinase inhibitor (1),4.48148606,Training
Tyrosine kinase inhibitor (4),4.48148606,Training
Tyrosine kinase inhibitor (8),4.48148606,Training
Tyrosine kinase inhibitor (14),4.48148606,Training
Tyrosine kinase inhibitor (22),4.48148606,Training
Tyrosine kinase inhibitor (23),4.48148606,Training
Tyrosine kinase inhibitor (24),4.48148606,Test
Rofecoxib,4,Training
Rofecoxib analog (2a),4,Training
Triple reuptake inhibitor (23a),5.382999659,Training
Triple reuptake inhibitor (21a),5.634512015,Training
Triple reuptake inhibitor (25a),5.188424994,Test
Triple reuptake inhibitor (27a),5.438898616,Test
Triple reuptake inhibitor (23b),5.325138859,Training
Triple reuptake inhibitor (21b),5.363512104,Training
Dacinostat,4.987162775,Training
Histone deacylase inhibitor (11r),4.27572413,Training
Nav 1.7 inhibitor (24),5.420216403,Training
Nav 1.7 inhibitor (47),5.714442691,Training
Nav 1.7 inhibitor (48),6.356547324,Training
Nav 1.7 inhibitor (46),5,Training
Nav 1.7 inhibitor (52),5,Training
NMDA receptor antagonist (6a),5.723538196,Training
NMDA receptor antagonist (6b),5.66756154,Training
NMDA receptor antagonist (4c),4.795880017,Training
NMDA receptor antagonist (6c),5.205511953,Training
NMDA receptor antagonist (6d),5.485452247,Test
NMDA receptor antagonist (6e),5.661543506,Training
NMDA receptor antagonist (6f),5.175874166,Test
NMDA receptor antagonist (6g),5.064492734,Training
NMDA receptor antagonist (6h),5.283996656,Test
NMDA receptor antagonist (6i),5.026872146,Training
NMDA receptor antagonist (8a),5.148130399,Training
NMDA receptor antagonist (8b),4.568636236,Training
NMDA receptor antagonist (8c),4.725842151,Training
NMDA receptor antagonist (8e),4.730487056,Training
NMDA receptor antagonist (4a),5.723538196,Training
NMDA receptor antagonist (8h),4.48148606,Training
Cyclovirobuxine D,4.705533774,Test
Genz-667066,4.721246399,Training
Genz-666984,4.677780705,Training
Genz-644442,4.602059991,Training
